Dataset,Provenance,regularizations (general),depths (general),reference_labels_paired_n_est_max_depth,paired_n_est_max_depth_regularizations_optimal_depths (depth_guesses),threshold_guess_paired_n_est_max_depth,folds
compas,https://github.com/propublica/compas-analysis/blob/master/compas-scores-two-years.csv,"[ .001, .002, .005, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(40, 1)]",[],"[(40, 1)]",5
compas,https://github.com/propublica/compas-analysis/blob/master/compas-scores-two-years.csv,"[ .001, .002, .005, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(30, 2)]",[],"[(30, 2)]",5
compas,https://github.com/propublica/compas-analysis/blob/master/compas-scores-two-years.csv,"[ .001, .002, .005, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(50, 2)]",[],"[(50, 2)]",5
broward_general_2y,https://github.com/BeanHam/interpretable-machine-learning/blob/master/broward/data/broward_data.csv,"[ .001, .002, .005, 0.0005 ]","[3, 4, 5, 6, 0]","[(30, 2)]",[],"[(30, 2)]",5
broward_general_2y,https://github.com/BeanHam/interpretable-machine-learning/blob/master/broward/data/broward_data.csv,"[ .001, .002, .005, 0.0005 ]","[3, 4, 5, 6, 0]","[(50, 2)]",[],"[(50, 2)]",5
broward_general_2y,https://github.com/BeanHam/interpretable-machine-learning/blob/master/broward/data/broward_data.csv,"[ .001, .002, .005, 0.0005 ]","[3, 4, 5, 6, 0]","[(20, 3)]",[],"[(20, 3)]",5
coupon_carryout,,"[ .001, .002, .005, 0.0005 ]","[3, 4, 5, 6, 0]","[(40, 1)]",[],"[(40, 1)]",5
coupon_carryout,,"[ .001, .002, .005, 0.0005 ]","[3, 4, 5, 6, 0]","[(30, 2)]",[],"[(30, 2)]",5
coupon_carryout,,"[ .001, .002, .005, 0.0005 ]","[3, 4, 5, 6, 0]","[(20, 3)]",[],"[(20, 3)]",5
coupon_rest20,,"[ .001, .002, .005, .0005 ]","[3, 4, 5, 6, 0]","[(40, 1)]",[],"[(40, 1)]",5
coupon_rest20,,"[ .001, .002, .005, .0005 ]","[3, 4, 5, 6, 0]","[(30, 2)]",[],"[(30, 2)]",5
coupon_rest20,,"[ .001, .002, .005, .0005 ]","[3, 4, 5, 6, 0]","[(20, 3)]",[],"[(20, 3)]",5
fico,,"[ .001, .002, .005, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(30, 2)]",[],"[(30, 2)]",5
fico,,"[ .001, .002, .005, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(50, 2)]",[],"[(50, 2)]",5
fico,,"[ .001, .002, .005, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(20, 3)]",[],"[(20, 3)]",5
netherlands,,"[ .001, .002, .005, .0001, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(40, 1)]",[],"[(40, 1)]",5
netherlands,,"[ .001, .002, .005, .0001, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(50, 2)]",[],"[(50, 2)]",5
netherlands,,"[ .001, .002, .005, .0001, .0002, .0005 ]","[3, 4, 5, 6, 0]","[(20, 3)]",[],"[(20, 3)]",5
spiral,,"[ 0.1, 0.05, 0.02, 0.01 ]","[3, 4, 5, 6, 0]","[(40, 1)]",[],"[(40, 1)]",
spiral,,"[ 0.1, 0.05, 0.02, 0.01 ]","[3, 4, 5, 6, 0]","[(30, 2)]",[],"[(30, 2)]",
spiral,,"[ 0.1, 0.05, 0.02, 0.01 ]","[3, 4, 5, 6, 0]","[(50, 2)]",[],"[(50, 2)]",
